id,title,authors_ids,journal,publish_date,citations_range,student_author
1,دراسة تحليلية لمنهج الداني في جامع البيان,1,مجلة الدراسات القرآنية,2024-02-10,11-20,لا
2,القراءات الشاذة وأثرها في التفسير,2|3,مجلة جامعة أم القرى,2024-04-15,أقل من 10,لا
3,توجيهات ابن خالويه النحوية للقراءات,1,المجلة العربية للقرآن وعلومه,2024-06-20,21-50,نعم
4,أصول رواية حفص عن عاصم,4,مجلة البحوث الإسلامية,2024-08-01,أقل من 10,لا
5,منهج الإمام الشاطبي في حرز الأماني,2,مجلة معهد الإمام الشاطبي,2024-03-25,11-20,لا
6,الأداء القرآني بين التلقي والرواية,5|6,مجلة الدراسات القرآنية,2024-05-12,أقل من 10,لا
7,ضبط المصحف العثماني - دراسة تأصيلية,1|4,مجلة جامعة الملك سعود,2024-07-30,21-50,لا
8,الوقف اللازم عند علماء القراءات,7,مجلة البحث العلمي,2024-09-05,أقل من 10,نعم
9,القراءات القرآنية وأثرها في الأحكام الفقهية,3,مجلة الشريعة والدراسات الإسلامية,2024-10-18,11-20,لا
10,رسم المصحف بين التوقيف والاجتهاد,8,مجلة جامعة أم القرى,2024-11-22,أقل من 10,لا
11,الإمالة في القراءات العشر,4|7,مجلة الدراسات اللغوية,2024-01-15,21-50,لا
12,منهج ابن الجزري في تحرير الطرق,1,مجلة معهد الإمام الشاطبي,2024-12-01,11-20,لا
